isEnable	ItemID	Name	Description	ItemBagType	Price	Currency	isStack	ShoppingDefine	Formula	Bundle
TRUE	material_1	Fabric	Low-quality material, a piece of cloth. It may be useful.	Material	0	Coin	TRUE	consumable,available	Rate:2,tooltipsID:'tooltips_material'	
TRUE	material_2	Wire	Low-quality material, old wire. One day probably uses.	Material	0	Coin	TRUE	consumable,available	Rate:2,tooltipsID:'tooltips_material'	
TRUE	material_3	Nail	Low-quality material, old nails. It should be useful someday.	Material	0	Coin	TRUE	consumable,available	Rate:2,tooltipsID:'tooltips_material'	
TRUE	material_4	Gunpowder	Medium-quality material, gunpowder. Try to imagine what you can use it to do.	Material	0	Coin	TRUE	consumable,available	Rate:3,tooltipsID:'tooltips_material'	
TRUE	material_5	Hex Nut	Medium-quality material, hex nut for use in craftsmanship.	Material	0	Coin	TRUE	consumable,available	Rate:3,tooltipsID:'tooltips_material'	
TRUE	material_6	Gear	High-quality material, brand new gears. One day you must use it!	Material	0	Coin	TRUE	consumable,available	Rate:4,tooltipsID:'tooltips_material'	
TRUE	material_7	Bullet Shell	High-quality material, the delicate shell casings. It can definitely be used!	Material	0	Coin	TRUE	consumable,available	Rate:4,tooltipsID:'tooltips_material'	
TRUE	material_8	Letter Shard	Piece of invitation letter. Collect and exchange it to completely letter. And use it for inviting the new champion to join your team!	Material	0	Coin	TRUE	consumable,available	Rate:5,tooltipsID:'tooltips_material_charecipe'	
TRUE	material_9	Sachet Shard	Piece of fashion sachet. Collect and exchange it to completely sachet. And open it to get the new costume for your champion!	Material	0	Coin	TRUE	consumable,available	Rate:4,tooltipsID:'tooltips_material_sachet'	
TRUE	material_10	Pocket Watch	Luxurious pocket watch. Invaluable for all of the bugs at The Last Bug village. You should keep it that good!	Material	0	Coin	TRUE	consumable,available	Rate:3,tooltipsID:'tooltips_material'	
TRUE	material_11	Steel		Material	2000	Coin	TRUE	consumable,available	Rate:4,range:[0.1/0.4],specialchance:0,tooltipsID:'tooltips_material'	
TRUE	material_12	Premium Steel		Material	0	Coin	TRUE	consumable,available	Rate:5,range:[0.3/0.7],specialchance:0.35,tooltipsID:'tooltips_material'	
TRUE	material_13	Rare Steel		Material	50	Gem	TRUE	consumable,available	Rate:0,range:[0.7/1.0],specialchance:1,tooltipsID:'tooltips_material'	
TRUE	material_gift	Rampage Coin	The coin from Rampage points received after the end of the competition. You can use it to open the Rampage Chest.	Material	0	Coin	TRUE	consumable,available	Rate:0,tooltipsID:'tooltips_material_gift'	
TRUE	material_flag	Winner Flag	The flag symbol is a reward for the challenger who grab the flag. You can use it to open the Winner Chest!	Material	0	Coin	TRUE	consumable,available	Rate:0,tooltipsID:'tooltips_material_flag'	
TRUE	material_time	Time Stack	Time Stack	Material	0	Coin	TRUE	consumable	Rate:0	
TRUE	material_festival	Festival Coin		Material	0	Coin	TRUE	consumable,available	Rate:0,tooltipsID:'tooltips_material_festival'	
TRUE	material_halloween	Halloween Coin	Pumpkin coin for opening the Halloween Chest! Collect and use it before the event has gone.	Material	0	Coin	TRUE	consumable,available	Rate:0,tooltipsID:'tooltips_material_halloween'	
TRUE	character_recipe	Champion Letter	For buying a new champion. Just believe in your fate!	Recipe	80	Gem	TRUE	consumable,available	recipeType:'character_recipe'	
TRUE	blueprint_recipe	Blueprint Recipe	Blueprint Recipe	Recipe	50	Gem	TRUE		recipeType:'blueprint_recipe'	
TRUE	finishhim_recipe	Finish Him Recipe	Finish Him Recipe	Recipe	20	Gem	TRUE		recipeType:'finishhim_recipe'	
TRUE	character_rent	Champion Rent	For rent a champion that you want for 1 day.	Rent	1000	Coin	TRUE		duration:86400	
FALSE	other_soul	Soul Booster	เพิ่ม หรือ รีเซ็ต Passive Ability ของชุดและเครื่องประดับได้ 1 ครั้ง แบบสุ่ม	Other	50	Gem	TRUE			
FALSE	other_slot3	Unlock Ability Slot	ปลดล๊อกช่องสกิลที่ 3 ของฮีโร่ 1 ตัว	Other	100	Gem	TRUE			
