isEnable	ActionID	Name	Description	ActionEffect	ActionType	ActionTargetType	ActionLenght	TargetArea	Value	RecyclePoint	Formula	Percent	Dropbys	Model	Anim	Weapon	CombatStyle	Define	isShow
TRUE	act_9	Landmine	Place it anywhere in the arena and casually wait for someone to step on it. The explosion is going to be beautiful!	Trap	Ward	All	area:'around',min:0,max:1	area:'single'	0	1	environmentID:'env_act_0',creatingactive:true	10	block		hidden		around_action	shottarget,fire	FALSE
TRUE	act_4	Apple	You’ll feel like you’ve been born again after a bite of this delicious apple and gain a Life Point!	Heal	Buff	Onlyme	area:'single'	area:'single'	1	1		5	block	heal-apple	hidden		none		FALSE
TRUE	act_3	Turbo Jump	The most popular energy drink among the bugs. Drink up and jump further!	TurboSpeed	Buff	Onlyme	area:'single'	area:'single'	1	1	buffID:'bf_1'	15	block	turbo	hidden		none		FALSE
TRUE	act_6	Shield	This strong shield will protect you from any attack. But be wise, you can only use it once.	Armor	Buff	Onlyme	area:'single'	area:'single'	1	1	buffID:'bf_0'	5	block		hidden		none		FALSE
TRUE	act_14	Boomerang	Throw this badass boomerang to enemies within its reaching range. Your enemies might know your location.	Boomerang	Atk	Enemy	area:'cross',min:0,max:20	area:'diraction'	1	1	animagain:'hidden'	10	block	boomerang	toss		follow	shottarget	TRUE
TRUE	act_11	Molotov Cocktail	Powerful bottle bomb! Throw in on to the ground, and the fire will burn the block for a period of time. Don’t foolishly walk into the fire!	MolotovCocktail	Atk	All	area:'around',min:0,max:3	area:'single'	1	1	environmentID:'env_act_1',hitstone:true	8	block	bomb-molotovcocktail	toss		follow	shottarget,fire	TRUE
TRUE	act_17	Bugs Tracker	Know every movement of the players nearby for a couple of turns by using this item.	Hunt	Buff	Enemy	area:'single'	area:'around',min:-1,max:3	0	1	buffID:'bf_6'	8	block	hunt-scaner	hidden		none		FALSE
TRUE	act_18	Beer	Throw it to your enemies, they’ll get drunk and can’t walk properly!	Beer	Buff	All	area:'around',min:0,max:4	area:'around',min:-1,max:1	0	1	buffID:'bf_7'	8	block	bomb-beer	toss		follow		TRUE
TRUE	act_19	Scarecrow	Place it on the block, use it as a decoy to trick other bugs! Scarecrow’s location will be revealed if attacked by weapons.	Summon	Ward	All	area:'around',min:0,max:3	area:'single'	0	1	environmentID:'env_act_3'	8	block		hidden		none		FALSE
TRUE	act_20	Honey 	Increase Energy Charge after your turn every time until the sweetness got watched away or someone attacks you.	EnergyBooster	Buff	Onlyme	area:'single'	area:'single'	0	1	buffID:'bf_8'	8	block	energybooster	hidden		none		FALSE
TRUE	act_21	Whirlwind Vacuum	When an enemy attacks you with a specific target weapon, Vacuum will add the weapon that hurts you! Use this before you gonna get hit. 	Armor	Buff	Onlyme	area:'single'	area:'single'	0	1	buffID:'bf_9'	8	block		hidden		none		FALSE
TRUE	act_22	Spring Trap	This trap will bounce the bug that steps on it to anywhere in the arena!	Trap	Ward	Onlyme	area:'around',min:0,max:3	area:'single'	0	1	environmentID:'env_act_4',creatingactive:true	8	block		hidden		none		FALSE
TRUE	act_23	Wooden Cage	Set wooden cage on a block and wait for someone to get trap inside there for a couple of turns.	Trap	Ward	Onlyme	area:'around',min:0,max:2	area:'single'	0	1	environmentID:'env_act_5',creatingactive:true	8	block		hidden		none		FALSE
TRUE	act_24	Sweet Candy	The miraculous lollipop of bugs! Use it to get a lot of energy!	Supplies	Buff	Onlyme	area:'single'	area:'single'	9	4		5	block	energySupplies	hidden		none		FALSE
TRUE	act_25	Wing	If this place is not worth living. Then use this magical wing to randomly go somewhere else!	Wing	Buff	Onlyme	area:'single'	area:'single'	1	1	iswing:true	15	block	wing	hidden		none		FALSE
TRUE	act_26	TNT	TNT barrel, a very very dangerous weapon. Try to place and trigger it to explode... Use it carefully!	Trap	Ward	All	area:'around',min:0,max:2	area:'single'	0	1	environmentID:'env_act_9',creatingactive:true	10	block		hidden		around_action	shottarget,fire	FALSE
TRUE	act_27	Shotgun	ปืนลูกซอง โจมตีระยะกวางเป็นวงกว้างในแนวระนาบ	Missile	Atk	All	area:'around',min:1,max:3	area:'fore',length:1	1	1	hitstone:true	0	block	bomb-shotgun	rocket	shotgun	around_action	shottarget,fire	TRUE
TRUE	act_28	Dispell 		Sanctuary	Buff	Onlyme	area:'single'	area:'single'	0	1		0	block	caster-dispell	hidden		none		FALSE
TRUE	act_29	Smoke		TossEv	Ward	All	area:'around',min:0,max:3	area:'single'	0	1	environmentID:'env_act_8'	0	block	bomb-smoke	toss		none		TRUE
TRUE	act_30	Hammer		Sword	Atk	All	area:'around',min:-1,max:1	area:'single'	1	1	hitstone:true,stun:true	0	block	sword-hammer	knife	hammer	around_random	shottarget	TRUE
TRUE	act_mike_0	Dyna-Mike	-	Grenade	Atk	All	area:'around',min:0,max:4	area:'around',min:-1,max:1	1	0	hitstone:true,splitcount:3,range:[1/2],splitmodel:'bomb-dynamike-split'	0	ability	bomb-dynamike	ability_0	dyna-mike	follow	ability,shottarget,fire	TRUE
TRUE	act_mike_1	Mike Bug Bomber	-	Trap	Ward	All	area:'around',min:0,max:2	area:'single'	1	0	environmentID:'env_act_2',creatingactive:true	0	ability		hidden		around_action	ability,shottarget,fire	FALSE
TRUE	act_mike_5	Kamikaze	-	Kamikaze	Atk	All	area:'single'	area:'around',min:-1,max:2	1	0	hitstone:true,splitcount:8,range:[2/6],splitmodel:'bomb-dynamike-split'	0	ability	bomb-dynamite-kamikaze	ability_0	dyna-mike-big	around_action	ability,fire	TRUE
TRUE	act_jam_0	Jamie Heal	-	none	Buff	Onlyme	area:'single'	area:'single'	0	0	copy:'act_4'	0	ability	heal-apple	ability_1		none	ability	FALSE
TRUE	act_jam_1	Jamie Silent	-	TossBuff	Atk	All	area:'around',min:0,max:5	area:'around',min:-1,max:1	1	0	buffID:'bf_2'	0	ability	bomb-silent	ability_2		none	ability	TRUE
TRUE	act_jam_2	Jamie Blessing		EnergyBooster	Buff	Onlyme	area:'single'	area:'around',min:-1,max:2	1	0	buffID:'bf_8'	0	ability	energybooster-blessing	ability_0		none	ability	FALSE
TRUE	act_jam_3	Jamie EMP	-	EMP	Atk	All	area:'around',min:0,max:5	area:'around',min:-1,max:1	3	0		0	ability	bomb-emp	ability_2		none	ability	TRUE
TRUE	act_jam_4	Jamie Sanctuary		Sanctuary	Buff	All	area:'single'	area:'around',min:-1,max:1	1	0		0	ability	caster-sanctuary	ability_0		none	ability	TRUE
TRUE	act_jam_5	Jamie Perfect Armor	-	Armor	Buff	Onlyme	area:'single'	area:'single'	1	1	buffID:'bf_15'	5	ability		ability_1		none	ability	TRUE
TRUE	act_yip_0	Yippo Quick Shot	-	ManyShot	Atk	Enemy	area:'around',min:0,max:4	area:'single'	1	0	splitcount:3,range:[0/1],hitstone:true	0	ability	bomb-missile-canon	ability_0	yippogun	follow	ability,shottarget,fire	TRUE
TRUE	act_yip_1	Yippo Leaf Armor	-	Armor	Buff	Onlyme	area:'single'	area:'single'	1	0	buffID:'bf_4'	0	ability		hidden		none	ability,shottarget	FALSE
TRUE	act_yip_3	Poisonous Mushrooms		TossBuff	Buff	All	area:'around',min:0,max:4	area:'around',min:-1,max:1	1	0	buffID:'bf_13'	0	ability	bomb-poisonous-mushrooms	toss		none	ability,shottarget	TRUE
TRUE	act_rock_0	Rockko Deep Impact	-	Impact	Atk	Enemy	area:'around',min:-1,max:1	area:'around',min:-1,max:1	1	0	hitstone:true	0	ability	sword-impact	ability_1		around_action	ability	TRUE
TRUE	act_rock_1	Rockko Speed Dash	-	RocketTurbo	Buff	Onlyme	area:'around',min:2,max:4	area:'single'	1	0	walkanim:'ability_0'	0	ability	rocketturbo	idle_main		around_sky	movement,ability	TRUE
TRUE	act_rock_5	Rockko Stomp	-	Stomp	Atk	Enemy	area:'single'	area:'around',min:-1,max:2	0	0		0	ability	caster-stomp	ability_2		none	movement,ability	TRUE
TRUE	act_spood_0	Spood Turret Machine	-	Summon	Ward	Onlyme	area:'around',min:0,max:4	area:'single'	0	0	environmentID:'env_act_6'	0	ability		ability_0	spoodgear	none	ability	TRUE
TRUE	act_spood_1	Spood Web	-	Trap	Ward	Onlyme	area:'around',min:0,max:3	area:'single'	0	0	environmentID:'env_act_7'	0	ability		ability_0	spoodgear	none	ability	TRUE
TRUE	act_spood_2	Spoode SpiderBot	-	AutobotFinding	Atk	Enemy	area:'single'	area:'single'	0	0	count:2,environmentID:'env_act_6',environmentID:'env_act_7'	0	ability	autobot-spider	ability_0	spoodgear	around_sky	ability	TRUE
TRUE	act_kirov_0	Cut Strike	-	Strike	Atk	Enemy	area:'herovisible',min:0,max:5	area:'single'	1	0	walkanim:'ability_0',hitstone:true,backward:false	0	ability	sword-crossSlash	idle_main		around_sky	movement,ability,shottarget	TRUE
TRUE	act_kirov_1	The spirit of the killer	-	Hunt	Buff	Enemy	area:'single'	area:'around',min:-1,max:5	0	0	copy:'act_17'	0	ability	hunt-scaner-spirit	ability_1		none	ability	FALSE
TRUE	act_kirov_3	Sonic Strike	-	SonicStrike	Atk	Enemy	area:'single'	area:'single'	1	0	range:[0/2],count:8,hitstone:true,effectHit:'sword-crossSlash'	0	ability	sonic-wind	ability_2		around_sky	ability	TRUE
TRUE	act_kirov_4	Boomerang Strike	-	Boomerang	Atk	Enemy	area:'cross',min:0,max:20	area:'diraction'	1	0	animagain:'ability_3'	0	ability	boomerang-kirov	ability_3		follow	ability,shottarget	TRUE
TRUE	act_jzi_0	Life Steal	-	LifeSteal	Atk	Enemy	area:'around',min:0,max:4	area:'single'	1	0		0	ability	life-steal	ability_0		around_action	ability,shottarget	TRUE
TRUE	act_jzi_1	Demon Ward 	-	Summon	Ward	All	area:'around',min:0,max:3	area:'single'	0	0	environmentID:'env_act_10'	0	ability		ability_1		none	ability	FALSE
TRUE	act_jzi_2	Buff Steal	-	BuffSteal	Buff	Enemy	area:'around',min:1,max:3	area:'around',min:-1,max:1	0	0		0	ability	buff-steal	ability_0		none	ability	TRUE
TRUE	act_jzi_4	Voodoo Doll	-	VoodooDoll	Buff	Enemy	area:'around',min:0,max:3	area:'single'	0	0	buffID:'bf_17'	0	ability	caster-curse	ability_2		none	ability,shottarget	TRUE
TRUE	act_wp_0	Spray	-	Baseball	Atk	Enemy	area:'single'	area:'around',min:0,max:1	1	0		0	ability	spray	ability_0		around_action	ability	TRUE
TRUE	act_wp_1	Sting	-	Strike	Atk	Enemy	area:'cross',min:0,max:5	area:'single'	1	0	walkanim:'ability_1',backward:true,hitstone:true	0	ability	sword-crossSlash	idle_main		around_sky	movement,ability,shottarget	TRUE
TRUE	act_wp_2	Counter Spray	-	CallBuff	Buff	Onlyme	area:'single'	area:'single'	1	0	buffID:'bf_12'	0	ability	caster-counterspray	hidden		none	ability	FALSE
TRUE	act_wp_5	Fly	-	CallBuff	Buff	Onlyme	area:'single'	area:'single'	1	0	buffID:'bf_16'	0	ability		ability_2		none	ability,movement	FALSE
