isEnable	CostumeID	Name	CostumeType	Rarity	Slot	StarValue	CharacterID	PassiveID	PassiveValue	Formula	isAvailable
TRUE	acc_balloon_1	Balloon	Accessorie	Common	Body	0	-		0		TRUE
TRUE	acc_beard_1	Beard	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_bodylightning_1	Body Lightning	Accessorie	Common	Body	0	-		0		TRUE
TRUE	acc_bugwing_1	Wing	Accessorie	Common	Body	0	-		0		TRUE
TRUE	acc_fairy_1	Fairy	Accessorie	Common	Body	0	-		0		TRUE
TRUE	acc_glasses_1	Glasses 1	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_glasses_2	Glasses 2	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_glasses_3	Glasses 3	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_face_1	Red Blush	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_glove_1	Glove	Accessorie	Common	Hand	0	-		0		TRUE
TRUE	acc_punchlightning_1	Punch Lightning	Accessorie	Common	Hand	0	-		0		TRUE
TRUE	acc_halloween_glove_1	Halloween Glove	Accessorie	Common	Hand	0	-		0		TRUE
TRUE	acc_halloween_glove_2	Halloween Mummy Glove	Accessorie	Common	Hand	0	-		0		TRUE
TRUE	acc_halloween_mask_1	Halloween Mask	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_halloween_nut_1	Halloween Nut	Accessorie	Common	Head	0	-		0		TRUE
TRUE	acc_halloween_crossofgod_1	Halloween Crossofgod	Accessorie	Common	Body	0	-		0		TRUE
TRUE	acc_halloween_casket_1	Halloween Casket	Accessorie	Common	Body	0	-		0		TRUE
