ID	Name	Description	Option
act_26	TNT	ถังไม้ TNT อาวุธสุดอันตราย ลองวางไว้ แล้วทำให้มันระเบิดดูสิ... ใช้มันอย่างระวังด้วยนะ!	
act_5	พลั่ว	พลั่วธรรมดา ที่ไม่ธรรมดา ใช้ขุดเพื่อทำลายบล็อกรอบตัว เพื่อหาไอเท็มมาใช้ในการแข่ง และอาจช่วยขัดขวาง แผนการของศัตรูได้	
act_29	ระเบิดควัน	สร้างหมอกควัน ปกคลุมพื้นที่ขนาดใหญ่ ผู้เล่นในอาณาเขต จะไม่สามารถใช้ไอเท็ม หรือทักษะใดๆ ได้ ไอเท็มนี้ จะไม่มีผลกับพื้นที่น้ำ ใช้ให้ดีนะ	
act_27	ปืนลูกซอง	ปืนลูกซองสุดเท่ ยิงออกไปเป็นแนวระนาบ ใครอยู่ใกล้เป้าหมาย ก็อย่าหวังจะรอด	
act_28	ยาล้างบัฟ	สมุนไพรแห่งการชำระล้าง ไม่ว่าจะเป็นบัฟดี หรือบัฟแย่ กินเข้าไปก็ล้างหมดนั่นแหละ	
act_30	ฆ้อน	ฆ้อนทรงพลัง ใช้ทุบศัตรูใกล้ๆ ให้เจ็บ และเกิดอาการมึนงง	
			
act_mike_0	{@ab_mike_0}	{d@ab_mike_0}	
act_mike_1	{@ab_mike_1}	{d@ab_mike_1}	
act_mike_5	{@ab_mike_5}	{d@ab_mike_5}	
act_jam_0	{@ab_jam_0}	{d@ab_jam_0}	
act_jam_1	{@ab_jam_1}	{d@ab_jam_1}	
act_jam_2	{@ab_jam_2}	{d@ab_jam_2}	
act_jam_3	{@ab_jam_3}	{d@ab_jam_3}	
act_jam_4	{@ab_jam_4}	{d@ab_jam_4}	
act_jam_5	{@ab_jam_5}	{d@ab_jam_5}	
act_yip_0	{@ab_yip_0}	{d@ab_yip_0}	
act_yip_1	{@ab_yip_1}	{d@ab_yip_1}	
act_yip_3	{@ab_yip_3}	{d@ab_yip_3}	
act_rock_0	{@ab_rock_0}	{d@ab_rock_0}	
act_rock_1	{@ab_rock_1}	{d@ab_rock_1}	
act_rock_5	{@ab_rock_5}	{d@ab_rock_5}	
act_spood_0	{@ab_spo_0}	{d@ab_spo_0}	
act_spood_1	{@ab_spo_1}	{d@ab_spo_1}	
act_spood_2	{@ab_spo_2}	{d@ab_spo_2}	
act_kirov_0	{@ab_kirov_0}	{d@ab_kirov_0}	
act_kirov_1	{@ab_kirov_1}	{d@ab_kirov_1}	
act_kirov_3	{@ab_kirov_3}	{d@ab_kirov_3}	
act_kirov_4	{@ab_kirov_4}	{d@ab_kirov_4}	
act_jzi_0	{@ab_jzi_0}	{d@ab_jzi_0}	
act_jzi_1	{@ab_jzi_1}	{d@ab_jzi_1}	
act_jzi_2	{@ab_jzi_2}	{d@ab_jzi_2}	
act_jzi_4	{@ab_jzi_4}	{d@ab_jzi_4}	
act_wp_0	{@ab_wp_0}	{d@ab_wp_0}	
act_wp_1	{@ab_wp_1}	{d@ab_wp_1}	
act_wp_2	{@ab_wp_2}	{d@ab_wp_2}	
act_wp_5	{@ab_wp_5}	{d@ab_wp_5}	
CharacterData			
cha_0	ยิปโป้	หนอนผีเสื้ออ้วนป้อมจากชุมชนแมลง ที่ห่างไกลความเจริญ กระหายจะพิสูจน์ตัวเอง แต่ก็ยังขี้กลัว และยืนหนึ่งด้านความซุ่มซ่าม อย่างไรก็ตาม ความซุ่มซ่ามนั่นเอง ที่มักจะพาเจ้าตัวเข้าไปสู่สถานการณ์ที่คาดไม่ถึง จนทำให้ใครๆ ก็ต่างประหลาดใจ กับไอ้หนุ่มบ้านนอกธรรมดาคนนี้ เขาชื่นชอบเรื่องราวของฮีโร่หนอนในตำนาน และอยากจะเป็นแบบนั้นบ้าง [n][n] “ยิปโป้ ฮะ! ผมก็ไม่แน่ใจว่ามาถึงตรงนี้ได้ยังไง”	
cha_1	เจมมี่	หมอสาวใจดี เกิดมาพร้อมพรสวรรค์ในการรักษา ที่สืบทอดกันมาในเผ่ามอธ ด้วยความที่ไม่ชอบความรุนแรง เจมมี่จึงตัดสินใจเข้าร่วมการแข่งขัน เพื่อให้มั่นใจว่าจะไม่มีการสูญเสียเกิดขึ้นในการแข่ง แต่สถานการณ์ที่พาไป อาจทำให้เธอต้องวางกล่องพยาบาลเปลี่ยนมาถืออาวุธแทนก็ได้! [n][n] “นี่ก็เป็นแค่การแข่งขัน เพราะฉะนั้นเรามาแข่งอย่างเป็นมิตรเถอะค่ะ” 	
cha_2	ไมค์	อดีตหน่วย EOD มือหนึ่งผู้คลุกคลีกับระเบิดมาทั้งชีวิต แม้ภายนอกดูเฮฮาและไม่จริงจัง แต่แท้จริงแล้วเต่าทองตัวนี้ยังบ้ากว่าที่คุณคิดได้อีกเยอะ ไมค์ไม่ได้หวังอะไรจากการแข่ง นอกเหนือจากความสนุกและเงินทองเท่านั้น! [n][n] “จะเอาตัวรอดยังไงงั้นเหรอ ไม่เห็นจะมีอะไรเลย แค่ลงสนาม แล้วทำทุกอย่างให้ตูมตามก็พอ!“	
cha_3	ร็อคโค่	หนึ่งในเจ้าหน้าที่ระดับสูงของหน่วย Savior ทั้งอบอุ่น ใจดี แต่ขณะเดียวกันก็ทรงพลัง ด้วยสัญชาติญาณนักรบดั้งเดิมของเผ่าด้วงแล้ว ร็อคโค่พร้อมอุทิศตน ต่อสู้เพื่อความสงบสุขของชาวเมือง และจะไม่ปรานีใครหน้าไหน ที่ทำให้สวนหลังบ้านแห่งนี้ต้องวุ่นวาย  [n][n] “ร็อคโค่ ยินดีรับใช้!”	
cha_4	สปู๊ด	นักประดิษฐ์อัจฉริยะวัยกลางคน ที่พร้อมจะป่วนทั้งสนามแข่ง ด้วยสารพัดเครื่องยนต์กลไก นับเป็นโอกาสหายาก ที่จะเห็นแมงมุมตัวนี้ ก้าวออกจากห้องทำงาน และบัดนี้สปู๊ด ก็พร้อมอวดโฉมสิ่งประดิษฐ์ใหม่ ที่เขาแสนจะภาคภูมิใจให้ทุกคนเห็นแล้ว! [n][n] “เอาล่ะ จงตื่นตะลึงกับผลงาน ที่ฉันใช้เวลาสร้างขึ้นมา ร่วมสิบสามชั่วโมง สิบแปดนาที กับอีกสามจุดสองห้าวินาทีเป็นเวลาหนึ่งสัปดาห์ …อะไรนะ เธอไม่เข้าใจที่ฉันจะสื่องั้นเหรอ!?”	
cha_5	คิรอฟ	นักลอบสังหารผู้ลึกลับ ภายใต้รูปร่างปราดเปรียวของตั๊กแตนตัวนี้ เต็มไปด้วยจิตสังหาร หากถูกนายจ้างของเขาหมายหัวแล้ว ก็อย่าหวังว่าจะรอดจากเงื้อมมือ และคมมีด เช่นเดียวกัน แม้นี่จะเป็นแค่การแข่งขัน ก็อย่าหวังว่าเขาจะไม่เอาจริง [n][n] “ไม่จำเป็นต้องรู้จักฉันนักหรอก"	
cha_6	เจสสิก้า	ยุงจากหนองน้ำผู้ใช้วิชามนตร์ดำ แม้จะอายุมาก แต่อย่าได้ประมาทเธอเด็ดขาด ด้วยอาคมในการช่วงชิงพลังชีวิต ทำให้เธอยังคงอยู่มาจนถึงทุกวันนี้ และไม่ว่าคุณจะหลบซ่อนอยู่ที่ใด หากเธอได้กลิ่นเลือดของพวกคุณแล้วล่ะก็ จงเตรียมใจกับคำสาปที่จะมาถึง [n][n] “ในกลิ่นเลือดของเจ้า ข้ารู้สึกได้...เจ้ากำลังกลัวอยู่ใช่มั้ยล่ะ” 	
cha_7	เวสเป้	ทหารรับจ้างฝีมือร้ายกาจ เธอพร้อมจะสวนทุกการโจมตีกลับไป ด้วยมีด และเหล็กใน โปรดระวังรอยยิ้มของเธอ ที่อาจจะทำให้คุณใจอ่อน เพราะรู้ตัวอีกที คุณก็อาจจะโดนขโมยไปทั้งหัวใจ  เงินทอง ข้อมูลความลับ หรือแม้กระทั่งชีวิตของคุณเอง [n][n] “เฮ้ แมลงที่น่ารักตรงนั้นน่ะ ช่วยออมมือให้ฉันหน่อยนะ~”	
CharacterData (Role)			
role_cha_0	นักสู้ / นักบู๊	ด้วยปืนคู่ใจ กับโล่ใบไม้ ที่จะคอยปกป้องเขายามหวาดกลัว  เขาพร้อมจะก้าวลงสนามแล้ว!	
role_cha_1	ซัพพอร์ต / ขัดขวาง	ด้วยพลังแห่งการรักษา และก่อกวนเพื่อเอาตัวรอด ใครๆ ก็ล้วนอยากเป็นทีมเดียวกับเธอ	
role_cha_2	หัวรุนแรง	ด้วยความคลั่งไคล้ในระเบิด เขาพร้อมที่จะทำให้ทุกที่กลายเป็นสมรภูมิเดือดได้ทุกเมื่อ!	
role_cha_3	นักทำลายล้าง	โจมตีเป็นวงกว้างได้ด้วยการงัดพื้นดิน เขาและเกราะที่แข็งแกร่ง พร้อมพุ่งทะลวงทุกอย่างที่ขวางหน้า!	
role_cha_4	นักก่อกวน	งานถนัดของเขาคือสร้างป้อมเพื่อโจมตี แม้จะต้องลุ้นเอาหน่อยว่าจะโดนไหม แต่ก็ก่อกวนได้ดี 	
role_cha_5	นักฆ่า	จับความเคลื่อนไหวศัตรูด้วยสัญชาตญาณนักฆ่า แต่การจะลงมือสังหารจำเป็นต้องอาศัยช่วงเวลาที่เหมาะสม!	
role_cha_6	นักฉวยโอกาส	แม้จะไม่ต้องแตะตัว ก็สามารถช่วงชิงชีวิตของศัตรูได้ เพียงแค่ใช้คาถาอาคม และกลยุทธที่แนบเนียน!	
role_cha_7	เลือดเย็น	จู่โจมอย่างเกรี้ยวกราดรอบทิศทาง และไม่ยอมจะให้ใครโจมตีเธอเปล่าๆโดยไม่แก้แค้น	
AbilityData			
ab_pass_0	พลังงานฝังดิน	มีโอกาสได้รับเอเนอร์จี้ เพิ่ม 1 หน่วย จากการขุดบล็อก	
ab_pass_1	ทักษะรีไซเคิล	มีโอกาสได้รับเอเนอร์จี้ เพิ่ม 1 หน่วย จากการย่อยสลายไอเท็ม ที่มีในกระเป๋า	
ab_pass_2	ทักษะคุ้ยของ	เพิ่มโอกาสในการได้รับ ไอเท็มมากขึ้น เมื่อขุดบล็อก	
ab_pass_3	ประหยัดพลังงาน	มีโอกาสที่จะ ลดการใช้เอเนอร์จี้ ลง 1 หน่วย ทุกครั้ง เมื่อใช้ทักษะ	
ab_pass_4	ประกายไฟแรมเพจ	มีโอกาสเล็กน้อย ที่จะได้รับเอเนอร์จี้  1 หน่วย เมื่อทำแต้มแรมเพจ ได้	
ab_pass_5	ขนมฝังดิน	เพิ่มโอกาสการได้รับ {@act_24} เมื่อคุ้ยบล็อก	
ab_pass_6	โบนัสแรมเพจ	ได้รับ แต้มแรมเพจ เพิ่มขึ้นเมื่อจบการแข่งขัน	
ab_pass_7	โบนัสเหรียญ	ได้รับ เหรียญทอง เพิ่มขึ้น เมื่อจบการแข่งขัน	
ab_pass_8	โบนัสประสบการณ์	ได้รับ ประสบการณ์ เพิ่มขึ้น เมื่อจบการแข่งขัน	
ab_pass_9	ลุ้นเหรียญแรมเพจ	เพิ่มโอกาสในการได้รับ เหรียญแรมเพจ เพิ่มขึ้น 1 เหรียญ เมื่อจบการแข่งขัน	
ab_pass_10	ทักษะขุดดิน	ขยายพื้นที่ขุดบล็อก ด้วยไอเท็มพลั่ว ให้ไกลขึ้นอีก 1 บล็อก	
ab_pass_11	น้ำแร่ธรรมชาติ	มีโอกาสที่จะได้รับ เอเนอร์จี้ เพิ่ม 1 หน่วย จากการใช้ไอเท็ม กระติกน้ำ	
ab_mike_0	ไดนา-ไมค์	ระเบิดประจำตัวของไมค์ ปาไปได้ไกลมาก สร้างความเสียหายกระจายเป็นวงกว้างจากจุดที่เลือก อย่าเผลอปาใส่ตัวเองล่ะ	
ab_mike_1	บั๊กบอมเบอร์	กับดักระเบิดฆ่าล้างเผ่าพันธุ์ วางไว้รอให้ใครสักคนมาเหยียบเหมือนเดิม เพิ่มเติมคือสร้างความเสียหายกว้างขึ้น	
ab_mike_2	ทักษะวางระเบิด	เพิ่มช่องการวางกับดัก ให้ไกลขึ้นอีก 2 ช่อง ขอให้สนุกสนานกับการวางกับดัก!	
ab_mike_3	สะเก็ดระเบิด	เพิ่มความจี๊ดให้สะเก็ดระเบิด ไม่ว่าจะเป็น Action ไหนๆ หากมีสะเก็ดระเบิดกระจายออกไป ก็จะลุกเป็นไฟเป็นระยะเวลาหนึ่ง!	
ab_mike_4	ระเบิดเด้งดึ๋ง	เพิ่มความสามารถให้ ไดนา-ไมค์ เมื่อปาออกไปจะกระเด้งออก เพิ่มอีกจำนวนหนึ่ง มีโอกาสสร้างความเสียหายมากขึ้น	
ab_mike_5	คามิคาเซ่	ไมค์บ้าเลือด กระโดดปา ไดนา-ไมค์ ตรงบริเวณที่ยืนอยู่ สร้างความเสียหายเป็นวงกว้าง รวมทั้งตัวเองด้วย...	
ab_jam_0	ฟื้นฟู	สุดยอดพลังรักษาที่สืบทอดกันมาในตระกูลมอธ ช่วยฟื้นฟู Life Point ทันทีที่ใช้ จะใช้กับตัวเอง หรือช่วยเหลือเพื่อนร่วมทีมก็ได้	
ab_jam_1	ผงใบ้	โยนผงประหลาดไปยังพื้นที่เป้าหมาย ทำให้ศัตรูแสบตา และไม่สามารถใช้ Action ใดๆ ได้เป็นระยะเวลาหนึ่ง	
ab_jam_2	อธิษฐาน	เรียกใช้พรจากสวรรค์ ทำให้ทุกคนในทีม ได้รับเอเนอร์จี้ เพิ่มขึ้น ทุกครั้งที่จบเทิร์นตัวเอง เป็นระยะเวลาหนึ่ง หรือจนกว่าจะถูกโจมตี	
ab_jam_3	EMP	ปาระเบิดขวด EMP ไปยังเป้าหมาย ศัตรูจะถูกสูบเอเนอร์จี้ ที่มีอยู่ให้หายไป 2 หน่วย	
ab_jam_4	ผงวิเศษ	โปรยสะบัดผงยาวิเศษ ให้ฟุ้งในอากาศ เพื่อล้างบัฟทั้งหมด ทั้งดี และแย่ ให้กับแมลงทุกตัว ที่อยู่ในบริเวณพื้นที่รอบๆ	
ab_jam_5	โล่มหัศจรรย์	สร้างโล่สีทองสุดแข็งแกร่ง ป้องกันทุกความเสียหายโดยสมบูรณ์ โล่นี้จะไม่หายไปจนกว่าจะครบเวลา	
ab_jam_6	EMP ขั้นเทพ	เพิ่มความสามารถให้ {@ab_jam_3} นอกจากจะ ลดเอเนอร์จี้ ของศัตรูแล้ว ก็ยังสามารถดูดเอเนอร์จี้ กลับมาเป็นของตัวเองได้อีกด้วย 	
ab_yip_0	หนึ่งนัด	งัดปืนคู่ใจออกมาใช้ ยิงออกไปยังเป้าหมายที่ต้องการ หนึ่งนัด ระวังด้วยล่ะ เพราะคนอื่นจะรู้ว่าคุณอยู่ตรงไหน	
ab_yip_1	เกราะใบไม้	หยิบใบไม้มาสร้างเป็นเกราะให้ตัวเอง ป้องกันความความเสียหายจากการโจมตี 1 ครั้ง เป็นระยะเวลาหนึ่ง	
ab_yip_2	พรางตัว	หากมีบัฟ {@ab_yip_1} ก็ไม่มีใครเห็นตัวเจ้า{@cha_0} แม้จะอยู่บนบล็อกเผยตัวก็ตาม แต่ถ้าอยากจะแอบให้มิด ก็ระวังการใช้ Action ที่เผยตัวด้วยล่ะ!	
ab_yip_3	เห็ดพิษ	โยนเห็ดเมาใส่เป้าหมาย ทำให้ศัตรูตาลาย และอาจโจมตีพลาดเป้า เป็นระยะเวลาหนึ่ง	
ab_yip_4	ยิงกราด	ยิงปืนครั้ง 3 นัดเข้าเป้าเพียงหนึ่ง! สร้างความเสียหายกระจายแบบสุ่มตรงบริเวณที่เลือก	
ab_rock_0	งัดพื้น	อย่าทำให้ด้วงต้องเกรี้ยวกราด! {@cha_3} จะใช้เขางัดพื้นดินขึ้นมา เพื่อทำลายทุกอย่างที่ขวางหน้า	
ab_rock_1	พุ่งจรวด	รวบรวมพลังแล้วพุ่งไปให้สุดทาง! หากมีใครอยู่ในระยะที่พุ่งผ่าน ก็จะถูกเปิดเผยตำแหน่งทันที!	
ab_rock_2	ปรับปรุงภูมิทัศน์	ได้ระเบิดพลังแล้วมันก็สะใจ! เมื่อใช้ทักษะ {@ab_rock_0} ทำลายของในฉาก จะมีโอกาสได้รับเอเนอร์จี้	
ab_rock_3	พวยพุ่งสะเทือนดิน	เมื่อทำลายของในฉาก จะเพิ่มชาร์จ ให้ทักษะ {@ab_rock_1} หากชาร์จเต็ม จะสร้างพื้นดินแยกตรงพื้นที่เป้าหมาย เมื่อใช้ทักษะดังกล่าว	
ab_rock_4	พลังแห่งแมลง	ปลุกความสามารถให้ด้วง เมื่อใช้ทักษะใดๆ ก็ตาม จะมีโอกาสทำให้ศัตรูที่อยู่ในพื้นที่เป้าหมายติด {@bf_14}	
ab_rock_5	คลื่นกระแทก	พุ่งขึ้นฟ้า และทิ้งตัวลงมา กระแทกพื้นอย่างรุนแรง ทำให้ศัตรูที่อยู่ใกล้ๆ ตกใจ เปิดเผยตัวออกมา	
ab_spo_0	ป้อมปืนกล	ติดตั้งป้อมเอาไว้ พร้อมมี {@ab_spo_2} คอยเฝ้าระวัง แล้วรอจนกว่ามันจะพร้อมทำงาน ความสามารถขึ้นอยู่กับอารมณ์ของเจ้า {@cha_4} นะ	
ab_spo_1	ใยแมงมุม	สร้างกับดักใยแมงมุม ไว้ยังบล็อกเป้าหมาย เพื่อล็อคเหยื่อที่มาติดกับ ไม่ให้ไปไหนได้เป็นระยะเวลาหนึ่ง	
ab_spo_2	แมงมุมจิ๋ว	ปล่อยหุ่นยนต์แมงมุม วิ่งไปเกาะเป้าหมายที่อยู่ไม่ไกลเกินไป เพื่อเปิดเผยตำแหน่งของศัตรู	
ab_spo_3	ปัญญาประดิษฐ์	ทุกครั้งที่ใช้ทักษะพิเศษ จะเพิ่มชาร์จ ให้ทักษะ {@ab_spo_2}  เมื่อชาร์จเต็ม จะทำให้แมงมุมจิ๋วที่ปล่อยออกไป สุ่มสร้าง {@ab_spo_0} หรือ {@ab_spo_1} บนบล็อก	
ab_spo_4	กลไกนิรภัย	เพิ่มความสามารถให้ {@ab_spo_0} หากโดนทำลายตอนที่ยังสร้างไม่เสร็จ จะมีโอกาสระเบิดเป็น {@ab_spo_2} ออกมาอีก 2 ตัว และก่อสร้างเป็นป้อมอันใหม่ทันที!	
ab_spo_5	ฝูงแมงมุม	เพิ่มความสามารถให้ {@ab_spo_2} มีโอกาสเพิ่มจำนวนแมงมุม ที่ปล่อยออกไปเป็นเท่าตัว	
ab_kirov_0	ตะครุบ	พุ่งไปฟันศัตรูที่รู้ตำแหน่ง ด้วยขาหน้าอันเฉียบคม ..แต่อย่าแอบไปใช้ในพุ่มไม้ล่ะ	
ab_kirov_1	จิตสังหาร	รวบรวมสมาธิ จับการทุกเคลื่อนไหว ของศัตรูโดยรอบ เป็นระยะเวลาหนึ่ง	
ab_kirov_2	ฟันกวาด	เสริมความสามารถให้ {@ab_kirov_0} สุ่มฟัน สร้างความเสียหาย บริเวณรอบบล็อกเป้าหมาย อย่างว่องไว	
ab_kirov_3	ฟันกระจาย	ระเบิดพลังแค้น สุ่มฟันทั้งอารีน่าอย่างบ้าคลั่ง! แต่จะโดนบ้างไหมนั้น นั่นไม่ใช่เรื่องที่ {@cha_5} จำเป็นจะต้องแคร์ 	
ab_kirov_4	มีดบูมเมอแรง	{@cha_5} ดึงแขนตัวเองออกมาขว้าง แทนบูมเมอแรง สร้างความเสียหายแก่ศัตรู ที่อยู่ในระยะที่ขว้างไป	
ab_jzi_0	ดูดชีวิต	{@cha_6} ใช้คาถาที่ร่ำเรียนมา ขโมย Life Point จากเป้าหมายผู้โชคร้าย มาเพิ่มให้ตัวเอง	
ab_jzi_1	คฑาปีศาจ	ปักไม้เท้าปีศาจ ไว้บนบล็อกเป้าหมาย หากมีใครโจมตีมายังบล็อกดังกล่าว จะได้ความรับเสียหาย	
ab_jzi_2	ขโมยพลัง	สุ่มขโมยบัฟ 1 อย่างจากศัตรู  แต่จะได้บัฟดี หรือร้ายก็ขึ้นอยู่กับดวงแหละนะ	
ab_jzi_3	เงาแค้น	ทุกครั้งที่ใช้ทักษะพิเศษ จะเพิ่มชาร์จ ให้ทักษะ {@ab_jzi_1} หากใช้ตอนชาร์จเต็ม จะเปลี่ยนไม้เท้า เป็นร่างปลอมของ {@cha_6} อาจหลอกตำแหน่ง ให้ศัตรูโจมตีได้	
ab_jzi_4	ตุ๊กตาวูดู	เลือกเป้าหมายที่ต้องการสาป เพื่อเชื่อมต่อวิญญาณ หาก {@cha_6} ถูกโจมตี ผู้ถูกสาปจะได้รับความเสียหายไปด้วย จนกว่าคำสาปจะหายไป	
ab_wp_0	พายุมีด	{@cha_7} ขว้างมีดออกไป อย่างเกรี้ยวกราด สร้างความเสียหายให้ศัตรูรอบตัว	
ab_wp_1	เหล็กใน	พุ่งเข้าไปจู่โจมเป้าหมายด้วยเหล็กใน แล้วกลับมาที่เดิมแบบสวยๆ	
ab_wp_2	กลนักดาบ	ปลุกความเกรี้ยวกราดให้ตัวเอง เมื่อใช้ทักษะนี้ {@cha_7} พร้อมจะสาด {@ab_wp_0} สวนกลับทันที หากมีใครมากวนใจ	
ab_wp_3	จี้จุดตาย	{@cha_7} ชำนาญในการบินโฉบ เพิ่มความสามารถให้ทักษะ {@ab_wp_1} เมื่อพุ่งเข้าไปโจมตี จะสร้างความเสียหาย แก่ศัตรู ตลอดเส้นทางที่พุ่งผ่าน 	
ab_wp_4	มีดอาบพิษ	เพิ่มความสามารถให้ {@ab_wp_2} ทำให้ศัตรูทุกตัวที่ได้รับความเสียหาย ติดสถานะ {@bf_2} ไปด้วย เป็นระยะเวลาหนึ่ง 	
ab_wp_5	โบยบิน	ใช้ปีกที่เรียวสวยบินขึ้นเหนือช่องที่ยืนอยู่ มองเห็นตำแหน่งของศัตรูที่ซ่อนตัวอยู่ แม้นี่จะเป็นการเผยตัว แต่ก็ไม่มีใครสามารถจู่โจมได้ จนกว่าจะลงมาในเทิร์นถัดไป	
GameActivityData			
gact_0	พื้นที่เสี่ยงตาย	รีบหลบเข้าข้างในซะถ้าไม่อยากตาย! เมื่อถึงเวลาจะเกิดระเบิดพื้นที่รอบนอกสนาม แบบสุ่ม 	
gact_1	แอร์ดร็อป	สุ่มหย่อน แอร์ดร็อป ลงมา ของข้างในจะมีอะไรบ้างน้าา~ 	
gact_2	ดอกตะวัน	ดอกไม้แห่งดวงตะวัน (คนละอย่างกับดอกทานตะวันนะ) ช่วยฟื้นพลังชีวิตผู้เล่นที่เก็บได้	
gact_3	ดอกจันทรา	ดอกไม้แห่งดวงจันทร์ เหล่าแมลงต่างรู้สึกทรงพลังเมื่อได้อยู่ใกล้ดอกไม้สีฟ้านี้ มอบเอเนอร์จี้ ให้ผู้เล่นที่เก็บได้	
