isEnable	LessonType	TutorialID	LanguageKey	Description	DialogStyle	DialogAnchor	FocusTargetID	FocusStyle	FixSequence	TimeWaiting	TimeNext	Formula	isNextByDialog	isMarkConsole	isCheckPoint
TRUE	intro	intro_16		Complete Objective: Hide in Grass	objectives	center		black	objective_complete	1	1.2	objective:'hide'	TRUE	FALSE	FALSE
TRUE	intro	intro_17		-	none	none		none	intro_endturn	1	0		FALSE	FALSE	FALSE
TRUE	intro	intro_18	tt_intro_seebot	Pay attention to what's going on.	longText	#(0,-480,0)		center	none	3	0	vignette:3.2	TRUE	FALSE	FALSE
TRUE	intro	intro_19		-	none	none		none	intro_botaction	0.2	5	blockID:24,action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_20		-	none	none		none	intro_botmove	1	2	blockID:21	FALSE	FALSE	FALSE
TRUE	intro	intro_21		-	none	none		none	intro_startturn	2	2	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_22	ttinfo_intro_edge	Display Info: Move Inward	infoGraphic	center		black	none	0.2	0	name:'Move-Content',style:'basic'	TRUE	FALSE	FALSE
TRUE	intro	intro_23		-	none	none	intro_breakblock	follow	intro_breakblock	1	3.5	blockID:6	FALSE	FALSE	FALSE
TRUE	intro	intro_24	tt_intro_chapter2	How to win!	objectives	center		black	objective_display	1	0	objective:'fight,flag'	FALSE	FALSE	FALSE
TRUE	intro	intro_25		Active Objective: Fight Back	objectives	center		black	objective_active	1	0	objective:'fight'	TRUE	FALSE	FALSE
TRUE	intro	intro_26	tt_intro_holditem	[[Hold down]] on an item for details, try it out!	shortText	#(0,400,0)	intro_hold	none	intro_hold	1	0	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_27		-	none	none		none	autonext	2	0		TRUE	FALSE	FALSE
TRUE	intro	intro_28	tt_intro_missile	Time to [[fight back!]]	shortText	#(0,400,0)	intro_missile	none	intro_useitem	1	0	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_29	ttinfo_intro_hint	Display Info: Hint	infoGraphic	center		black	none	1	0	name:'Hint-Content',style:'basic_foot'	TRUE	FALSE	FALSE
TRUE	intro	intro_30		-	none	none	intro_attack	follow	intro_selecttarget	0.6	0	blockID:21	FALSE	TRUE	FALSE
TRUE	intro	intro_31		-	none	none	intro_confirm	none	intro_confirm	0.4	0	isMultiple:'true'	FALSE	TRUE	FALSE
TRUE	intro	intro_32		Complete Objective: Fight Back	objectives	center		black	objective_complete	3.6	1.2	objective:'fight'	TRUE	FALSE	FALSE
TRUE	intro	intro_33		Active Objective: Grab the flag	objectives	center		black	objective_active	0	0	objective:'flag'	TRUE	FALSE	FALSE
TRUE	intro	intro_34		-	none	none	intro_move2	follow	intro_move	1	0	blockID:14	FALSE	TRUE	FALSE
TRUE	intro	intro_35		-	none	none	intro_confirm	none	intro_confirm	0.4	0	isMultiple:'true'	FALSE	TRUE	FALSE
TRUE	intro	intro_36		-	none	none		none	intro_endturn	1	0		FALSE	FALSE	FALSE
TRUE	intro	intro_37		-	none	none		none	intro_botaction	1	5	blockID:16,action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_38		-	none	none		none	intro_botmove	1	0	blockID:11	FALSE	FALSE	FALSE
TRUE	intro	intro_39		-	none	none		none	intro_startturn	0	0	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_40	tt_intro_timer	Always check your [[time]] and spend it wisely!	shortText	#(212,-188,0)	intro_timer	none	intro_timer	1	5		TRUE	FALSE	FALSE
TRUE	intro	intro_41		-	none	none	intro_move3	follow	intro_move	1	0	blockID:3,value:5	FALSE	TRUE	FALSE
TRUE	intro	intro_42		-	none	none	intro_confirm	none	intro_confirm	1	0	isMultiple:'true'	FALSE	TRUE	FALSE
TRUE	intro	intro_43		Complete Objective: Grab the flag	objectives	center		black	objective_complete	4	2	objective:'flag'	TRUE	FALSE	FALSE
TRUE	intro	intro_44	tt_intro_energy	Good job! You got bonus energy from the flag. Let's try to use an ability.	longText	#(0,-480,0)		black	none	1	5		TRUE	FALSE	FALSE
TRUE	intro	intro_45	tt_intro_ability	Time to use [[ability!]]	shortText	#(-220,280,0)	intro_ability	follow	intro_useability	1	0	action:'ab_yip_0'	FALSE	FALSE	FALSE
TRUE	intro	intro_46	tt_intro_letfree	Now you can continue the training by yourself. Go ahead!	longText	#(0,-480,0)		black	none	1	0		TRUE	FALSE	FALSE
TRUE	intro	intro_47		-	none	none		none	intro_letaction	0	0	ignoremask:'true',	FALSE	FALSE	FALSE
TRUE	intro	intro_48		-	none	none		none	intro_botaction	1	4.6	blockID:3,action:'act_0'	FALSE	FALSE	FALSE
TRUE	intro	intro_49	tt_intro_damage	Oops! Your Life Point remains only 2 points, take care of yourself!	longText	#(0,-480,0)		none	intro_stoptime	1	5	isUseTween:'true'	TRUE	FALSE	FALSE
TRUE	intro	intro_50		-	none	none		none	intro_starttime	1	0		FALSE	FALSE	FALSE
TRUE	intro	intro_51		-	none	none		none	intro_botmove	1	0	blockID:13	FALSE	FALSE	FALSE
TRUE	intro	intro_52		-	none	none		none	intro_startturn	2	2	action:'act_10'	FALSE	FALSE	FALSE
TRUE	intro	intro_53		-	none	none		none	intro_letfree	0	0	ignoremask:'true',blockID:26	FALSE	FALSE	FALSE
TRUE	preparing_tomain	preparing_00	tt_preparing_tomain	-	longText	bottom	prepare_close	follow	none	1	0		FALSE	FALSE	FALSE
TRUE	unlock_compete	compete_00	ttinfo_compete	Display Info: Compete	infoGraphic	none		black	none	1	0	name:'Compete-Content',style:'basic'	TRUE	FALSE	FALSE
TRUE	unlock_compete	compete_01	tt_compete_start	Let’s get started!	shortText	#(-74,200,0)	unlock_compete	follow	none	1	0		FALSE	FALSE	FALSE
TRUE	unlock_compete	compete_02	tt_compete_prepare	This is the preparing room, you can custom your champion here in later. Now it’s time to press READY.	longText	bottom		none	none	2	0		TRUE	FALSE	FALSE
TRUE	unlock_compete	compete_03		-	none	none	prepare_ready	follow	compete_createroom	1	0	value:10	FALSE	FALSE	FALSE
TRUE	unlock_compete	compete_04		-	none	none		none	compete_waitroom	0	0		FALSE	FALSE	FALSE
TRUE	unlock_compete	compete_05	tt_compete_wait	Please wait for an enemy to join the competition with you. it will take some time. Take a deep breath!	longText	bottom		none	none	1			TRUE	FALSE	FALSE
TRUE	unlock_compete	compete_06		-	none	none		none	compete_waitbot	0	0		FALSE	FALSE	FALSE
TRUE	unlock_compete	compete_07	tt_compete_end	The enemy has appeared! Hope you have a good time in this competition!	longText	bottom		none	none	1			TRUE	FALSE	FALSE
TRUE	unlock_casual	casual_00	ttinfo_casual	Display Info: Casual	infoGraphic	none		black	none	1	0	name:'Compete-Content',style:'basic'	TRUE	FALSE	FALSE
TRUE	unlock_casual	casual_01	tt_casual_here	Casual Mode is here!	shortText	#(-74,200,0)	unlock_casual	follow	none	1	0		TRUE	FALSE	FALSE
TRUE	unlock_practice	practice_00	tt_practice_here	If you want to Practice come here!	shortText	#(-74,200,0)	unlock_practice	follow	none	1	0		TRUE	FALSE	FALSE
TRUE	unlock_mission	mission_00	tt_mission_here	Let’s check this out!	shortText	#(-74,200,0)	unlock_mission	follow	unlock_mission	1	0	specificID:'ms_daily_firstendgame'	FALSE	FALSE	FALSE
TRUE	unlock_mission	mission_01	tt_mission_intro	You can complete the DAILY MISSION and GOALS to get coins reward from here!	longText	bottom		black	none	1			TRUE	FALSE	FALSE
TRUE	unlock_champions	champions_00	ttinfo_champions	Display Info: Champions	infoGraphic	none		black	none	1	0	name:'Champion-Content',style:'basic'	TRUE	FALSE	FALSE
TRUE	unlock_champions	champions_01	tt_champions_here	Let's take a look at something new!	shortText	#(-74,200,0)	unlock_champions	follow	none	1	0		FALSE	FALSE	FALSE
TRUE	unlock_champions	champions_02	tt_champions_yippo	Yippo has something changed!	shortText	#(-74,200,0)	cha_0	follow	select_character	1	0	specificID:'cha_0'	FALSE	FALSE	FALSE
TRUE	unlock_champions	champions_03	tt_champions_costume	You can dress up your champion from here. Come to custom it When you have a new costume!	longText	bottom	champions_costume	follow	none	1	0	vignette:2.4	TRUE	FALSE	FALSE
TRUE	unlock_champions	champions_03	tt_champions_ability	But now it’s time to add a new Ability for your lil Yippo! 	shortText	#(-74,200,0)	champions_ability	follow	none	1	0	vignette:2.4	TRUE	FALSE	FALSE
TRUE	unlock_champions	champions_04		-	none	none	champions_ability	follow	none	1	0		FALSE	FALSE	FALSE
TRUE	unlock_champions	champions_05	tt_champions_abilityunlock	Now you can unlock a new ability! It required some of your resources. Let’s unlock the ability that you want.	longText	bottom		black	none	1	0		TRUE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
TRUE	unlock_chest	tt_unlock_chest_0		-	shortText	#(420,0,0)	chest_gift	follow	autonext	1	2		TRUE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
FALSE													FALSE	FALSE	FALSE
