EnvironmentID	Name	Description (for dev)	SummonType	Model	CallEffect	BlockEffect	OnceInBlock	Formula	Addition	isRampagePoint	isEnable
env_act_5	Prison	กับดักกรงขังที่พร้อมจะทำงานทันทีที่มีใครสักคนหลงเดินเข้ามาเหยียบ มันจะถูกซ่อนเอาไว้จากศัตรู ผู้เป็นเจ้าของเท่านั้นที่จะมองเห็นมันบนสนามรบ	action	Prison	trap	unhide,unactionmovement	TRUE	trapoption:'prison',buffID:'bf_10'	Negative 	FALSE	TRUE
env_act_6	Turret Machine	เครื่องยนต์ที่ถูกสร้างขึ้นมาจากขยะในสนามรบ มันสามารถแปลงร่างเป็นป้อมปืนที่แสนร้ายกาจได้ แต่ต้องใช้ระยะเวลาในการก่อสร้างที่นาน	action	Turret Machine	turretmachine	unWard	TRUE	duration:4,damage:1,cannon_bullet:'bomb-missile-canon',hitDestory:true	None	FALSE	TRUE
env_act_7	Web	กับดักใยแมงมุม ที่พร้อมจะทำงานทันทีที่มีใครสักคนหลงเดินเข้ามาเหยียบ มันจะถูกซ่อนเอาไว้จากศัตรู ผู้เป็นเจ้าของเท่านั้นที่จะมองเห็นมันบนสนามรบ	action	Web	trap	none	TRUE	trapoption:'prison',buffID:'bf_11'	Negative 	FALSE	TRUE
env_act_8	Smoke	กลุ่มควันที่ปกคลุมทั่วพื้นที่ทำให้สูญเสียทัศนวิสัย	action	Smoke	smoke	none	TRUE	duration:3,area:2	Negative 	FALSE	TRUE
env_act_9	TNT	ระเบิดยักษ์ที่วางไว้บนสนาม แรงระเบิดของมันรุนแรงจนสามารถทำลายภูมิประเทศบริเวณนั้นทั้งหมดลงได้	action	TNT	trap	unWard	TRUE	trapoption:'tnt',damage:1,damgearea:[-1/1],hitDestory:true,unhide:true,hitactive:true,openblockactive:true	Negative 	FALSE	TRUE
env_act_10	Demon Ward 	เสาที่ถูกทำพิธีลงอาคมไว้ หากศัตรูสร้างความเสียหายในพื้นที่อาคมนั้น ผู้โจมตีจะถูกสาปด้วยอาคมย้อนกลับทำให้ได้รับความเสียหายเช่นกัน	action	Demon Ward	demonward 	none	FALSE	damage:1,duration:8,hitDestory:true	Negative 	FALSE	TRUE
env_air_0	Air Drop	กล่องปิศนาที่ร่วงลงมาจากฟ้า สิ่งของที่อยู่ภายในยังคงเป็นความลับ	gameactivity	Air Drop	airdrop	none	TRUE	energy:[3/4],itemcount:[4/5],hitDestory:true	Positive	TRUE	TRUE
env_gact_0	Sun Flower	It's a flower of the sun, not to be confused with sunflower. Sun Flower will increase Life Point for those who have found it.	gameactivity	Sun Flower	gift	none	TRUE	gift:'heal',value:1,hitDestory:true	Positive	TRUE	TRUE
env_gact_1	Moon Flower	Flower of the moon. The bugs like to around this flower because it will feel powerful. Moon Flower will increase Energy Charge.	gameactivity	Moon Flower	gift	none	TRUE	gift:'energyCharge',value:5,hitDestory:true	Positive	TRUE	TRUE
env_fest_0	Pumpkin	Event environment 	natural	Pumpkin	keepreward	unWard	TRUE	hitDestory:true,hitKeep:true,walkKeep:true,itembag:'material_halloween',coin:0,gem:0,jigsaw:0	Positive	FALSE	TRUE
